,Valence,Arousal,Dominance,Liking
0,7.71,7.6,6.9,7.83
1,8.1,7.31,7.28,8.47
2,8.58,7.54,9.0,7.08
3,4.94,6.01,6.12,8.06
4,6.96,3.92,7.19,6.05
5,8.27,3.92,7.0,8.03
6,7.44,3.73,7.08,7.04
7,7.32,2.55,6.32,5.87
8,4.04,3.29,3.62,5.99
9,1.99,4.86,2.04,7.09
10,2.99,2.36,3.63,6.24
11,2.71,2.77,3.4,7.35
12,1.95,3.12,2.87,6.18
13,4.18,2.24,3.04,5.04
14,3.17,8.08,2.91,5.04
15,6.81,7.44,8.15,7.14
16,2.46,6.91,6.77,6.41
17,7.23,7.15,6.94,8.01
18,7.17,8.0,8.1,6.79
19,8.26,7.91,7.19,8.13
20,9.0,7.95,8.37,7.86
21,7.09,2.08,7.06,7.37
22,8.15,3.01,7.37,7.9
23,7.04,7.09,8.01,8.22
24,8.86,7.21,8.65,7.21
25,7.28,7.27,7.41,8.24
26,7.35,6.95,7.03,7.29
27,3.88,3.35,4.01,7.87
28,1.36,2.27,3.0,8.14
29,2.08,2.99,3.22,7.33
30,3.03,8.14,2.86,8.04
31,2.28,8.0,3.27,3.95
32,3.81,3.85,4.78,5.13
33,2.28,7.09,7.28,6.92
34,2.06,8.15,8.05,5.18
35,2.9,6.92,6.5,3.87
36,2.31,6.88,3.1,6.77
37,3.33,7.18,6.54,6.62
38,3.24,6.18,7.87,6.15
39,5.1,7.12,6.17,5.97
40,9.0,5.03,7.13,6.62
41,8.01,7.1,8.04,8.08
42,9.0,9.0,8.96,8.05
43,6.05,1.0,5.04,7.03
44,5.04,3.0,3.65,5.04
45,5.0,4.94,5.04,1.01
46,4.96,1.99,4.08,1.0
47,9.0,9.0,9.0,9.0
48,9.0,7.0,9.0,7.18
49,4.99,1.0,9.0,1.0
50,7.08,1.0,7.01,7.0
51,8.01,6.06,7.12,9.0
52,9.0,4.99,9.0,9.0
53,8.94,9.0,8.97,9.0
54,9.0,8.01,8.06,9.0
55,6.0,5.05,8.05,6.14
56,9.0,3.0,6.03,7.41
57,9.0,6.15,9.0,8.08
58,9.0,8.32,8.06,6.99
59,8.97,9.0,8.03,9.0
60,1.0,1.0,5.04,1.0
61,5.0,1.0,4.97,5.0
62,1.0,2.97,1.0,7.82
63,7.08,9.0,6.06,9.0
64,9.0,9.0,8.1,9.0
65,9.0,8.04,9.0,9.0
66,4.96,5.01,3.01,5.05
67,4.06,4.97,7.14,7.04
68,2.99,7.04,7.03,9.0
69,2.01,7.05,1.0,7.13
70,4.06,7.05,1.0,9.0
71,1.0,9.0,2.01,1.0
72,5.0,8.03,3.01,1.0
73,4.87,1.0,6.99,1.0
74,1.99,2.0,1.0,1.0
75,5.04,1.0,7.09,1.0
76,1.0,8.06,1.0,1.0
77,1.0,9.0,1.0,1.0
78,1.0,1.0,2.97,1.0
79,6.05,6.67,6.94,6.53
80,5.33,4.67,4.97,4.45
81,7.21,4.44,5.22,6.23
82,7.55,2.81,5.91,6.81
83,4.69,3.69,5.0,4.19
84,6.92,4.44,5.56,7.17
85,6.79,1.97,4.38,7.32
86,5.45,3.01,5.04,5.79
87,7.14,4.33,5.74,6.35
88,7.33,3.23,5.99,7.78
89,4.45,5.49,5.71,5.23
90,7.94,3.12,4.23,7.1
91,6.36,3.15,3.12,6.29
92,7.91,2.97,3.68,6.99
93,7.29,3.86,4.4,7.29
94,7.36,2.92,3.81,5.88
95,7.15,4.37,4.03,7.54
96,4.56,1.78,4.1,5.41
97,7.1,2.13,5.04,6.32
98,8.14,3.17,5.47,7.97
99,6.26,3.13,4.32,5.23
100,4.99,6.44,4.54,6.55
101,4.94,1.0,4.13,6.21
102,3.65,2.5,3.03,5.92
103,3.31,2.27,1.91,6.78
